Area,Perimetro,Circularidad,Color_Std,Asimetria,Diagnostico_General,Tipo_Especifico
3311.0,343.0,0.35365581606425234,32.66151679134601,0.16998792270531402,0,Nevus_Comun
21661.0,994.0,0.27549619029836364,31.09985245689056,0.8066198873603545,0,Nevus_Comun
20717.0,1904.0,0.07181296232215652,17.826741831208214,0.4046239984554494,0,Nevus_Comun
10096.0,858.0,0.1723394212737518,21.19847921759295,0.25413489155194613,0,Nevus_Comun
32104.0,1486.0,0.1826969898520724,26.71251294647221,0.24388724497741784,0,Nevus_Comun
29951.0,9368.0,0.004288717372058773,15.417480092798046,0.527610844017094,0,Nevus_Comun
8563.0,949.0,0.11948224748890751,22.583169418305136,0.34691732835123773,0,Nevus_Comun
3858.0,339.0,0.4218642182908057,23.322634963967516,0.9997408655091993,0,Nevus_Comun
17251.0,1639.0,0.08069864303942459,21.829750052769914,0.7528982146997449,0,Nevus_Comun
25607.0,3016.0,0.03537576914302932,26.39724767829691,0.5522883473914402,0,Nevus_Comun
17519.0,597.0,0.617689920268451,39.484217699348335,0.044577625570776255,0,Nevus_Comun
31299.0,1761.0,0.12682988953311647,6.762363983505769,0.7462939297124601,0,Nevus_Comun
12149.0,1717.0,0.05178569459532924,18.96442022315947,0.8096296296296296,0,Nevus_Comun
7081.0,462.0,0.41688906842205586,5.580300464550396,0.41471335780852864,0,Nevus_Comun
31432.0,1957.0,0.10313361209555194,14.187847331212526,0.12738205071103617,0,Nevus_Comun
33787.0,3524.0,0.034189102192341,12.04940373640778,0.3771457322126199,0,Nevus_Comun
9019.0,540.0,0.38866974132683596,28.579316462688816,0.14623059866962307,0,Nevus_Comun
7030.0,463.0,0.4121005622032336,35.8858106986171,0.6966292134831461,0,Nevus_Comun
3141.0,245.0,0.6575755118650922,15.961008989665107,0.1218968809675366,0,Nevus_Comun
9908.0,872.0,0.16374305620195936,36.9888199161989,0.2524977293369664,0,Nevus_Comun
25882.0,1873.0,0.09271118714301672,23.548524715492423,0.5932078970753004,0,Lentigo
17626.0,1858.0,0.06416116049199713,17.286817815830517,0.5472286832699835,0,Lentigo
13468.0,1179.0,0.12175459532070589,33.61696598963996,0.9535971490088351,0,Lentigo
24591.0,1584.0,0.12316170694384916,26.756381298699946,0.4655579050097593,0,Lentigo
18914.0,2587.0,0.03551406549562498,22.953653078295076,0.589796457837695,0,Lentigo
10642.0,829.0,0.19459158588909903,41.14116904473445,0.36437094804096587,0,Lentigo
5310.0,814.0,0.10070605310362153,39.706671074146826,0.9693089813594427,0,Lentigo
31325.0,2498.0,0.0630835428142035,12.43721167230528,0.8529336653259273,0,Lentigo
17940.0,2346.0,0.0409615410427434,19.613990133002474,0.4628504542667633,0,Lentigo
14592.0,1086.0,0.1554765998907314,30.81199940107616,0.8757623518125128,0,Lentigo
14394.0,992.0,0.18380952724933128,26.374957350968895,0.9999305314345259,0,Lentigo
19542.0,1632.0,0.092201622627793,19.202065655176053,0.7858568285319552,0,Lentigo
9314.0,1649.0,0.043043223322638276,30.068506101418215,0.7965646806226516,0,Lentigo
22476.0,1151.0,0.21319560139850194,36.114379901839584,0.19637852026515995,0,Lentigo
12149.0,1717.0,0.05178569459532924,18.96442022315947,0.8096296296296296,0,Lentigo
